name,price,store,brand,url,image
"DB Longboards CoreFlex Crossbow 41\" Bamboo Fiberglass Longboard Complete",237.68,Amazon,DB Longboards,https://www.amazon.com/DB-Longboards-CoreFlex-Fiberglass-Longboard/dp/B07KMVJJK7,https://images-na.ssl-images-amazon.com/images/I/51j3fPQTQkL.jpg
"Electronic Snap Circuits Mini Kits Classpack, FM Radio, Motion Detector, Music Box (Set of 5)",99.95,hand2mind,hand2mind,https://www.amazon.com/Electronic-Circuits-Classpack-Motion-Detector/dp/B008AK6DAS,https://images-na.ssl-images-amazon.com/images/I/51M0KnJxjKL.jpg
"Electronic Snap Circuits Mini Kits Classpack, FM Radio, Motion Detector, Music Box (Set of 5)",99.95,Amazon,hand2mind,https://www.amazon.com/Electronic-Circuits-Classpack-Motion-Detector/dp/B008AK6DAS,https://images-na.ssl-images-amazon.com/images/I/51M0KnJxjKL.jpg
"3Doodler Create Flexy 3D Printing Filament Refill Bundle (X5 Pack, Over 1000'. of Extruded Plastics! - Innovate",34.99,3Doodler,3Doodler,https://www.amazon.com/3Doodler-Plastic-Innovate-Filament-Refills/dp/B07D36747F,https://images-na.ssl-images-amazon.com/images/I/513cBC8PqpL.jpg
"3Doodler Create Flexy 3D Printing Filament Refill Bundle (X5 Pack, Over 1000'. of Extruded Plastics! - Innovate",34.99,Amazon,3Doodler,https://www.amazon.com/3Doodler-Plastic-Innovate-Filament-Refills/dp/B07D36747F,https://images-na.ssl-images-amazon.com/images/I/513cBC8PqpL.jpg
"Woodstock- Collage 500 pc Puzzle",17.49,AQUARIUS,AQUARIUS,https://www.amazon.com/Woodstock-Collage-500-pc-Puzzle/dp/B07MX21WWX,https://images-na.ssl-images-amazon.com/images/I/61plo8Xv4vL.jpg
"Woodstock- Collage 500 pc Puzzle",17.49,Amazon,AQUARIUS,https://www.amazon.com/Woodstock-Collage-500-pc-Puzzle/dp/B07MX21WWX,https://images-na.ssl-images-amazon.com/images/I/61plo8Xv4vL.jpg
"Terra by Battat – 4 Dinosaur Toys, Medium – Dinosaurs for Kids & Collectors, Scientifically Accurate & Designed by A Paleo-Artist; Age 3+ (4 Pc)",18.66,Terra by Battat,Terra by Battat,https://www.amazon.com/Terra-Battat-Dinosaurs-Collectable-Stegosaurus/dp/B07PF1R8LS,https://images-na.ssl-images-amazon.com/images/I/41EdPcg0uzL.jpg
"Terra by Battat – 4 Dinosaur Toys, Medium – Dinosaurs for Kids & Collectors, Scientifically Accurate & Designed by A Paleo-Artist; Age 3+ (4 Pc)",18.66,Amazon,Terra by Battat,https://www.amazon.com/Terra-Battat-Dinosaurs-Collectable-Stegosaurus/dp/B07PF1R8LS,https://images-na.ssl-images-amazon.com/images/I/41EdPcg0uzL.jpg
"Hoffmaster 120813 Double-Tipped Triangular Crayon, 88 mm Length, Wrapped (500 Packs of 2)",97.68,Amazon,Hoffmaster,https://www.amazon.com/Hoffmaster-120813-Double-Tipped-Triangular-Wrapped/dp/B00BS7XCZ4,https://images-na.ssl-images-amazon.com/images/I/41RQ9OU%2BTPL.jpg
"ARTSCAPE Etched Glass 24\" x 36\" Window Film, 24-by-36-Inch",12.99,ARTSCAPE,ARTSCAPE,https://www.amazon.com/ARTSCAPE-Etched-Glass-Window-Film/dp/B000Q3PRYA,https://images-na.ssl-images-amazon.com/images/I/51iAe3LF7FL.jpg
"ARTSCAPE Etched Glass 24\" x 36\" Window Film, 24-by-36-Inch",12.99,Amazon,ARTSCAPE,https://www.amazon.com/ARTSCAPE-Etched-Glass-Window-Film/dp/B000Q3PRYA,https://images-na.ssl-images-amazon.com/images/I/51iAe3LF7FL.jpg
"Pokemon TCG: Sun and Moon Crimson Invasion Elite Trainer Box",38.49,Amazon,Pokemon,https://www.amazon.com/Pokemon-TCG-Crimson-Invasion-Trainer/dp/B074NCGNX2,https://images-na.ssl-images-amazon.com/images/I/51LFAQfMX6L.jpg
"Moonlite, 3-Story Bundle for Boys, Includes 3 Story Reels for Use with Storybook Projector",18.16,Amazon,Moonlite,https://www.amazon.com/Moonlite-3-Story-Bundle-Storybook-Projector/dp/B07NPJNZ9T,https://images-na.ssl-images-amazon.com/images/I/51rUvw7zrtL.jpg
"DC Cover Girls: Black Canary by Joëlle Jones Statue",84.61,DC Collectibles,DC Collectibles,https://www.amazon.com/DC-Cover-Girls-Canary-Jo%C3%ABlle/dp/B07M7XYMRW,https://images-na.ssl-images-amazon.com/images/I/415AfhrfM7L.jpg
